id,weight,region,type,tenure,income,hardships,gender,move_date,pretenure,forced_move,move_to_buy
00960,209.33,Vancouver,06,rented,41000,very difficult,female,10+,rent,no,no
00965,401.314,Vancouver,05,owned,35000,difficult,female,4-5,own,no,no
00969,77.257,Other CMA,06,rented,100000,neither,female,3-4,rent,no,no
00988,904.469,Vancouver,06,rented,60000,very difficult,male,4-5,rent-free,no,no
00989,29.503,Other CMA,03,rented,70000,easy,male,4-5,rent,no,no
01007,151.39,Other CMA,04,owned,72500,neither,female,3-4,rent,no,no
01018,157.056,Other CMA,01,owned,105000,easy,female,10+,own,no,no
01029,88.731,Non CMA,01,owned,67500,easy,female,2-3,rent-free,no,no
01045,268.752,Other CMA,01,owned,170000,difficult,female,4-5,rent,no,yes
01070,1396.554,Non CMA,01,owned,190000,neither,male,4-5,rent,no,yes
01081,249.903,Other CMA,01,owned,75000,neither,male,10+,rent,yes,yes
01116,1265.705,Non CMA,03,owned,185000,very easy,female,10+,rent-free,no,yes
01180,160.94,Vancouver,06,rented,105000,neither,female,<1,rent,yes,no
01196,312.86,Non CMA,06,owned,82500,easy,male,10+,own,no,no
01223,242.002,Vancouver,06,rented,52500,neither,female,5-10,rent,no,no
01264,261.075,Other CMA,01,owned,52500,difficult,female,10+,rent-free,no,no
01267,404.897,Vancouver,06,owned,95000,difficult,female,<1,rent,no,yes
01269,496.158,Other CMA,02,rented,75000,neither,male,5-10,rent,no,no
01276,885.854,Vancouver,01,owned,160000,neither,male,10+,own,no,no
01279,22.987,Other CMA,06,rented,52500,neither,male,10+,rent,no,no
01284,1322.987,Vancouver,04,owned,95000,neither,male,5-10,rent,no,yes
01285,220.813,Other CMA,04,owned,220000,very easy,female,5-10,own,no,no
01289,240.589,Other CMA,01,owned,270000,easy,female,4-5,rent,no,yes
01299,157.369,Vancouver,06,owned,180000,neither,female,3-4,rent,yes,yes
01309,75.321,Other CMA,06,rented,6750,neither,female,10+,own,no,no
01317,44.31,Non CMA,01,owned,72500,neither,male,10+,own,no,no
01323,633.012,Non CMA,01,owned,80000,very easy,male,10+,own,no,no
01364,571.296,Vancouver,01,owned,170000,easy,female,1-2,own,no,no
01379,101.872,Non CMA,06,rented,47000,neither,male,4-5,rent,yes,no
01384,158.884,Other CMA,06,rented,77500,neither,female,1-2,rent-free,no,no
01387,151.958,Vancouver,04,owned,200000,neither,male,5-10,rent,no,no
01393,359.196,Vancouver,05,owned,60000,neither,male,<1,rent-free,no,no
01411,1014.212,Vancouver,03,owned,120000,difficult,female,5-10,rent,no,yes
01452,703.771,Vancouver,04,owned,250000,easy,female,10+,rent,no,no
01463,35.77,Other CMA,06,rented,19500,easy,male,10+,own,no,no
01502,118.809,Vancouver,05,owned,105000,neither,male,10+,own,no,no
01504,280.626,Other CMA,01,owned,90000,neither,female,10+,own,no,no
01505,1327.573,Vancouver,01,rented,67500,easy,male,<1,rent,no,no
01511,231.269,Other CMA,01,owned,230000,neither,male,3-4,rent,no,yes
01522,434.769,Non CMA,01,owned,140000,difficult,male,<1,own,no,no
01528,65.157,Other CMA,06,rented,65000,neither,female,4-5,own,no,no
01529,401.26,Vancouver,03,owned,270000,easy,male,10+,own,no,no
01549,83.21,Other CMA,01,owned,87500,easy,female,10+,own,no,no
01554,566.379,Non CMA,01,owned,145000,easy,male,2-3,own,no,no
01556,614.576,Vancouver,06,rented,370000,very easy,male,5-10,own,no,no
01562,1158.756,Vancouver,03,owned,37000,difficult,female,5-10,own,no,no
01565,917.522,Non CMA,01,owned,120000,easy,female,10+,rent,no,yes
01587,178.816,Other CMA,05,rented,37000,very difficult,male,3-4,rent,no,no
01599,431.608,Other CMA,01,owned,102500,neither,male,10+,own,no,no
01601,1400.518,Vancouver,04,owned,45000,easy,male,10+,own,no,no
01610,278.068,Vancouver,05,rented,105000,difficult,male,10+,rent,no,no
01614,19.723,Non CMA,06,rented,14500,difficult,male,2-3,rent,no,no
01618,755.192,Vancouver,03,owned,67500,very easy,male,3-4,own,no,no
01623,41.129,Other CMA,04,owned,220000,neither,male,5-10,own,no,no
01640,190.743,Other CMA,01,owned,150000,neither,male,5-10,own,no,no
01641,44.032,Non CMA,06,rented,36000,very easy,male,10+,rent,no,no
01647,842.843,Vancouver,06,rented,32000,easy,female,4-5,rent,no,no
01665,583.608,Vancouver,05,rented,105000,neither,male,1-2,rent,no,no
01668,432.584,Non CMA,01,owned,135000,neither,female,10+,rent,no,no
01683,847.267,Vancouver,01,owned,170000,easy,male,5-10,own,no,no
01698,116.749,Non CMA,01,owned,77500,easy,female,10+,own,no,no
01722,10.041,Non CMA,01,rented,92500,difficult,female,4-5,rent,no,no
01735,850.439,Vancouver,01,owned,26000,neither,male,3-4,own,no,no
01738,803.731,Vancouver,06,owned,55000,neither,male,1-2,rent,no,yes
01745,251.516,Non CMA,01,rented,120000,difficult,male,3-4,rent,yes,no
01746,797.175,Vancouver,06,owned,55000,very easy,female,10+,own,no,no
01768,934.237,Vancouver,05,rented,165000,neither,male,4-5,own,no,no
01790,449.195,Non CMA,01,owned,110000,easy,female,10+,own,no,no
01798,849.97,Vancouver,06,rented,240000,easy,male,1-2,rent,yes,no
01799,204.367,Other CMA,05,owned,125000,very easy,male,10+,own,no,no
01822,196.05,Other CMA,01,owned,97500,easy,male,10+,own,no,no
01860,1469.488,Vancouver,04,owned,75000,very difficult,male,10+,rent,no,yes
01867,229.541,Vancouver,06,rented,120000,difficult,female,3-4,rent,no,no
01870,44.167,Other CMA,03,owned,120000,neither,male,<1,own,no,no
01871,63.773,Non CMA,02,rented,90000,neither,male,2-3,rent,yes,no
01889,495.252,Non CMA,01,owned,115000,neither,male,2-3,rent,no,yes
01898,28.214,Non CMA,01,owned,85000,neither,male,1-2,own,no,no
01901,139.355,Non CMA,06,rented,21000,easy,female,10+,rent,yes,no
01909,143.105,Vancouver,05,rented,25000,neither,female,1-2,rent,yes,no
01932,36.064,Other CMA,06,rented,15000,easy,female,5-10,rent,no,no
01945,44.032,Non CMA,06,rented,19000,neither,male,10+,rent,yes,no
01954,100.058,Vancouver,06,rented,160000,neither,female,3-4,rent,no,no
01963,71.81,Other CMA,01,rented,165000,very easy,female,10+,own,no,no
01965,13.534,Non CMA,03,rented,20000,easy,female,5-10,rent,no,no
01976,339.108,Non CMA,01,owned,75000,easy,female,10+,own,no,no
02006,1444.595,Vancouver,06,owned,52500,neither,male,10+,rent,no,yes
02016,19.723,Non CMA,06,rented,52500,very difficult,male,10+,rent,no,no
02028,12.252,Non CMA,03,rented,20000,neither,female,5-10,rent,no,no
02040,687.198,Vancouver,03,owned,65000,very easy,female,<1,rent-free,no,no
02059,1312.959,Vancouver,03,owned,38000,neither,male,5-10,own,no,no
02064,149.072,Vancouver,05,rented,25000,neither,female,10+,rent,no,no
02067,180.433,Other CMA,06,rented,41000,easy,male,10+,rent,no,no
02079,801.179,Non CMA,02,owned,195000,very easy,female,1-2,own,no,no
02099,1532.041,Vancouver,06,owned,-700,neither,male,3-4,rent,no,yes
02108,1047.497,Vancouver,03,owned,14000,difficult,male,5-10,own,no,no
02115,11.801,Non CMA,06,rented,62500,difficult,female,2-3,rent,no,no
02117,613.62,Vancouver,01,owned,260000,easy,female,4-5,own,no,no
02124,237.169,Other CMA,01,owned,170000,neither,female,3-4,own,no,no
02127,835.24,Non CMA,01,rented,25000,very difficult,female,4-5,rent,no,no
02142,666.168,Non CMA,02,owned,330000,very easy,female,5-10,own,no,no
02148,95.342,Other CMA,06,owned,29000,easy,female,10+,own,no,no
02177,30.219,Non CMA,06,rented,14500,easy,female,1-2,rent,yes,no
02178,889.873,Vancouver,04,owned,100000,neither,female,10+,own,no,no
02181,357.29,Non CMA,01,owned,65000,difficult,female,10+,rent,no,yes
02184,399.391,Other CMA,06,owned,42000,neither,female,1-2,rent,yes,no
02185,815.815,Vancouver,01,rented,220000,neither,female,10+,rent-free,no,no
02196,149.072,Vancouver,05,rented,22000,easy,female,10+,rent,no,no
02198,149.072,Vancouver,06,rented,19500,easy,female,5-10,rent,yes,no
02205,742.735,Vancouver,05,owned,105000,easy,male,3-4,rent,no,no
02206,385.993,Non CMA,01,owned,105000,very easy,female,2-3,own,no,no
02214,380.789,Other CMA,01,owned,8750,difficult,male,5-10,rent-free,no,no
02234,70.811,Other CMA,04,rented,65000,very easy,male,5-10,rent,no,no
02257,587.364,Vancouver,04,rented,27000,neither,male,5-10,rent,no,no
02264,60.273,Other CMA,05,owned,155000,very easy,male,2-3,own,no,no
02281,351.665,Vancouver,05,rented,95000,neither,male,<1,rent,no,no
02286,42.156,Non CMA,06,rented,14500,difficult,male,5-10,rent,no,no
